City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Axim,GH,4.8699,-2.2405,79.39,86,7,7.96,clear sky
330,Challapata,BO,-18.9,-66.7667,56.53,53,93,2.98,overcast clouds
331,Doha,QA,25.2867,51.5333,64.38,55,0,6.91,clear sky
332,Nagato,JP,34.3833,131.2,40.19,73,100,16.13,overcast clouds
333,Mahebourg,MU,-20.4081,57.7,81.25,89,75,6.91,broken clouds
334,Broome,US,42.2506,-75.833,24.37,60,100,7.0,overcast clouds
335,Whitecourt,CA,54.1502,-115.6855,36.84,62,86,5.1,overcast clouds
336,Resistencia,AR,-27.4606,-58.9839,94.08,61,5,4.85,clear sky
337,Chuy,UY,-33.6971,-53.4616,72.5,40,1,13.87,clear sky
338,Abalak,RU,58.1286,68.5944,-6.27,100,100,3.11,overcast clouds
339,Roebourne,AU,-20.7833,117.1333,84.97,62,72,7.27,broken clouds
340,Lappeenranta,FI,61.0587,28.1887,33.85,98,100,16.11,overcast clouds
341,Huadian,CN,42.9633,126.7478,8.92,96,100,5.37,light snow
342,Tezu,IN,27.9167,96.1667,53.58,45,0,5.03,clear sky
343,Grand Gaube,MU,-20.0064,57.6608,81.37,78,89,5.01,overcast clouds
344,Wilmington,US,34.2257,-77.9447,51.71,93,100,10.36,light rain
